nro	anio	mes	dia	Azul	BahiaBlanca	'Bella Vista'	'Buenos Aires'	'Caseros'	'Ceres'	'Concordia'	'Cordoba'	'Corrientes'	'Formosa'	'Gral Pico'	'Gualeguaychu'	'Junin'	'La Plata'	'Laboulaye'	'Marcos Juarez'	'Mar del Plata'	'Parana'	'Paso de los Libres'	'Pehuajo'	'Pergamino'	'Posadas'	'Reconquista'	'Rio Cuarto'	'Rosario'	'San Luis'	'Sauce Viejo'	'Santa Rosa'	'Tandil'	'Tres Arroyos'
58	1970	2	27	2	16.5	0	21.6	0	-999	0	0	0	0	0	0	8.1	16.2	0	0	15.5	1.7	0	0	40	0	0	0	0	6.8	2.4	0	18	0.2
59	1970	2	28	0	0	0	2.6	0	0.2	0	18	0	0	0	12.2	0.1	0.3	0	-999	0.7	0	0	0	3	0	0	3	13	2	0	0	0	0
60	1970	3	1	18.2	0	0	0	0	0	0	19.1	0	0	0	4	0.5	0	0.8	2.5	0.2	0	0	0	0	0	0	2.3	0	0	0	0	70	13.5
61	1970	3	2	79.1	23	0	0	0	0	0	0	0	0	8.4	0	0	0	4.8	0	73.5	0	0	7.6	0	0	0	4.4	0	15	0	0	71.2	23.1
62	1970	3	3	4.8	1	10.3	0	0	0	0	0	0	0	0	0	0.2	0	0	0	10.6	0	0	0	0	0.2	0	0.7	0	0	0	0	1.5	0
63	1970	3	4	0	-999	0	0	0	0	0	0	0	0	0	0	1.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
64	1970	3	5	5.8	55	0	0	0	0	0	0	0	0	23	0	1.3	0	0.3	0	0	0	0	33.7	0	0.3	0	0	0	0	0	69.3	0	31.6
65	1970	3	6	3.5	-999	0	2.6	0	0	7	18.6	0	0	0	8.7	22.6	14.2	11.1	9.4	1.2	10.3	0	0.7	3	0	0	0	2.6	0	-999	0	11	0
66	1970	3	7	0	0	47.8	0	5.1	34.3	33	23.1	4.5	0	0	0	0	0	0	1.2	0	0.4	0	0	0	4	39.8	0.7	0.2	28.3	2.8	0	0	0
67	1970	3	8	0	0	1.2	0	0	0	0	0	5	0.3	0	0	0	0	0	0	0	0	0	0	0	38.2	0.5	0	0	0	0	0	0	0
