#Data	Da: 2010/01/01	A: 2014/03/12
#Latitudine	Min: 30.0	Max: 46.0
#Longitudine	Min: 5.0	Max: 30.0
#Magnitudo	Min: 4.5	Max: 10.0	Tipo: Mag pref
#Profondità (km)	Min: ND	Max: ND
#Terremoti totali:	 148
#Tempo Origine (UTC);Latitudine;Longitudine;Profondità;Magnitudo;Fonte;
2010-10-23 06:17:41.000;39.97;21.44;2.0;4.5;;
2010-10-11 00:34:35.000;42.42;21.59;2.0;4.5;;
2010-10-10 19:17:54.000;35.3;22.24;10.0;4.5;;
2010-10-09 19:04:49.000;38.16;22.71;2.0;4.5;;
2010-08-16 12:54:47.050;38.41;14.919;16.9;4.6;BULLETIN;
2010-08-15 12:11:48.000;37.22;20.89;15.0;4.7;;
2010-08-11 10:47:54.000;39.4;20.5;15.0;4.5;;
2010-08-08 09:00:29.000;40.5;23.6;10.0;4.6;;
2010-08-08 04:06:34.000;34.7;24.4;18.0;4.9;;
2010-08-06 02:37:45.000;34.23;25.03;28.0;4.8;;
2010-07-20 03:10:25.000;35.82;21.86;30.0;4.7;;
2010-07-16 18:53:10.000;39.31;23.99;10.0;5.1;;
2010-07-13 03:18:10.000;36.23;21.81;30.0;4.7;;
2010-07-09 22:15:10.460;41.137;19.761;10.0;4.7;BULLETIN;
2010-06-08 15:16:10.000;45.57;26.42;110.0;4.5;;
2010-05-02 12:24:37.000;35.6;24.7;88.0;4.5;;
2010-04-24 15:01:11.000;34.2;26.04;30.0;5.2;;
2010-03-26 18:35:55.000;38.15;26.31;15.0;4.8;;
2010-03-10 13:38:07.000;42.8;20.7;16.0;4.5;;
2010-02-11 21:56:30.000;33.98;25.42;10.0;5.3;;
2010-02-11 02:25:51.390;42.204;19.509;10.0;4.8;BULLETIN;
2010-01-30 13:47:44.000;38.3;22.4;2.0;4.5;;
2010-01-22 00:46:57.000;38.42;22.04;2.0;5.2;;
2010-01-18 15:56:10.000;38.4;22.0;6.0;5.2;;
2010-01-05 02:47:16.000;36.04;25.45;115.0;4.5;;
